error,failedPages,itemIndex,itemValue,page,pageStatus,pageUrl,successfulPages,timestamp,totalPages,type
,,,,,,,4,2025-06-28T21:37:14.623Z,4,summary
,,1,/hisense-43-inch-43a4kken-smart-tv-2yrs-wrty-312890046.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,2,/vitron-v646-3.1ch-home-theatre-sound-system-10000w-222277680.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,3,/power-king-best-4-way-power-extension-with-long-cable-white-25619854.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,4,/vitron-vitron43-htc4388fs-43-inch-tv-frameless-bluetooth-enabled-full-hd-smart-android-television-inbuilt-decoder-for-local-channelswi-fi-connectivity-netflix-youtube-app-store-1-year-warranty-free-tv-guardbracketextension-269259283.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,5,/amaze-tv-guard-free-fridge-guard-and-extension-30823664.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,6,/power-king-best-4-way-power-extension-with-long-cable-power-extenson-white-300768959.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,7,/heavy-duty-for-ironing-water-heating-and-electonics-4-way-extension-cable-white-generic-mpg116745.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,8,/generic-tv-box-mxq-pro-4k-android-12-wifi-18-150398881.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,9,/vitron-htc3200s32inch-bluetooth-enabled-frameless-smart-android-tv-netflix-youtube-inbuilt-decoder-app-store-1-year-warranty-152740260.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,10,/globalstar-32uk64-32inch-smart-android-tv-netflix-youtube-black-306989505.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,11,/nobel-5.1-ch-top-bass-home-theatre-systemusbradio-22000w-213433520.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,12,/ailyons-lst4306w-43-inch-smart-android-full-hd-tv-frameless-black-1yr-wrty-264454061.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,13,/wk-02-ch-multimedia-speaker-10000watts-1yr-wrty-216067763.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,14,/generic-istanbul-modern-tv-stand-with-led-lights-111914052.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,15,/ailyons-let3208w-32-fhd-frameless-digital-led-tv-inbuilt-decoder-dvb-t2s2-usb-hdmi-vga-black-1yr-wrty-179403644.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,16,/tv-guard-or-fridge-guard-13amps-generic-mpg7614129.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,17,/home-design-rotating-14-55-full-motion-swivel-tv-bracket-33213285.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,18,/3200s32-inch-smart-android-tvnetflixyoutube-appstorefree-extensionbracket-vitron-mpg1662667.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,19,/generic-p9-air-max-bluetooth-headphones-earpods-with-microphone-earpods-gaming-headset-stereo-hifi-earphones.-287050619.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,20,/ailyons-elp3603k-3.1ch-subwoofer-home-theatre-multi-media-bluetooth-speaker-system-1yr-wrty-215535403.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,21,/amtec-am-309-3.1ch-x-bass-multimedia-home-theater-system-12000w-pmpo-315518764.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,22,/vitron-v642-3.1ch-bluetooth-speaker-system-12v-139151166.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,23,/generic-istanbul-2-modern-tv-stand-with-led-lights-205387411.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,24,/generic-mexico-modern-wooden-tv-stand-for-up-to-55-tv-148107274.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,25,/amtec-am-03-2.1ch-hi-fi-multimedia-speaker-system-1yr-wrty-279521976.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,26,/amtec-am-808-sub-woofer-sound-system-btusbfm-black.-1yr-wrty-161716992.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,27,/generic-bluetooth-speaker-music-playing-bulb-led-lamp-e27-screw-267907491.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,28,/lyons-les4304w-43-2k-fhd-frameless-android-tv-with-bluetooth-black-1yr-wrty-306797614.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,29,/tv-guard-with-free-6-way-extension-amaze-mpg278077.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,30,/gotv-decoder-1yr-wrty-black-29808301.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,31,/amtec-am-017-2.1-speaker-system-3000watts-pmpo-black-1yr-wrty-79395110.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,32,/amaze-tv-guard-free-fridge-freezer-guard-surge-protector-148670540.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,33,/mk-electric-fridge-guard-plus-free-4-way-extension-cable-63415684.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,34,/vitron-htc3218f-32-hd-frameless-led-digital-tv-1yr-wrty.-black-160707140.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,35,/vitron-htc3200s32-inch-frameless-smart-android-tv-inbuilt-wifi-inbuilt-decoderbluetooth-enabled-1-year-warrantyfree-tv-guardextension-35001241.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,36,/skyworth-43g6500g-43-4k-uhd-google-tv-2025-black-1yr-wrty-306265747.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,37,/em-fridgefreezer-guard-undervoltagesurge-protection-318225629.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,38,/rashnik-tv-wall-mount-tv-stand-for-26-63-179310318.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,39,/hikers-43-inch-frameless-android-smart-fhd-led-tv-black-130121825.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,40,/hisense-43-incha4-smart-tvframelessdolby-audionetflixbrackettv-power-guard-228439782.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,1,/generic-6in1-ring-light-10-inch-2.1m-tripod-stand-for-tiktok-youtube-giftmicremote-159690042.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,2,/generic-mexico-modern-wooden-tv-stand-for-up-to-55-tv-111799322.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,3,/vitron-htc4388fs43-inch-frameless-smart-android-tvblueotooth-enabled-netflix-youtube-app-store-inbuilt-decoderfree-gifts-1yr-wrty-266793928.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,4,/ailyons-elp2403k-2.1ch-subwoofer-home-theatrer-multi-media-speaker-system-1yr-wrty-156070364.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,5,/generic-powerful-digital-tv-ariel-aerial-digital-tv-antenna-10mtr-cable-293838197.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,6,/generic-mexico-modern-wooden-tv-stand-for-up-to-55-tv-116114658.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,7,/skyworth-32e3500g-32-inches-full-hd-frameless-smart-google-tv-black-1yr-wrty-306827710.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,8,/14-43-wall-bracket-free-4-way-extension-generic-mpg1697642.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,9,/amtec-am-308-3.1ch-x-bass-multimedia-home-theater-system-12000w-pmpo-315518763.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,10,/vitron-v51sb-2.1ch-soundbar-system-with-bluetooth-black.1yr-wrty-231843600.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,11,/amtec-am-307-3.1ch-x-bass-multimedia-home-theater-system-12000w-pmpo-315518762.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,12,/htc3200s32-inch-frameless-smart-android-tv-inbuilt-decoder-netflix-appstore-vitron-mpg1987078.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,13,/vitron-soundbar-system-6000w-pmpo-306184171.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,14,/tcl-32s5400-s-series-32-fhdhd-hdr-smart-tv-black-161668620.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,15,/tcl-43v6c-43-inch-smart-4k-hdr-google-tv-316279700.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,16,/p47-wireless-bluetooth-headphones-foldable-268329829.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,17,/digital-tv-ariel-free-cablefree-connector-generic-mpg419957.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
,,18,/amtec-am-315-3.1-bluetooth-sub-woofer-10000watts-1yr-wrty-55192227.html,3,success,https://www.jumia.co.ke/electronics?page=3,,,,data
